TransactionID,CustomerName,City,TransactionDate,Amount,Merchant,Category,IsFraud
1,Rushil Saini,Kota,2024-06-02 19:48:35,32007.4,Amazon India,Entertainment,0
2,Rehaan Boase,Raichur,2025-01-20 13:51:53,7062.94,Flipkart,Utilities,0
3,Diya Rattan,Shahjahanpur,2024-06-01 10:08:08,21153.9,Amazon India,Electronics,0
4,Devansh Rajan,Durg,2025-01-06 01:58:04,25317.23,Amazon India,Utilities,0
5,Aadi Naik,Coimbatore,2024-12-25 14:22:07,32529.23,Tata Cliq,Health & Wellness,0
6,Jai Kota,Berhampur,2024-08-21 14:38:30,29504.36,Amazon India,Clothing,0
7,Niharika Gupta,Moradabad,2025-01-03 04:26:10,17078.5,Big Bazaar,Transport,0
8,Girik Khalsa,Malda,2024-03-24 02:46:13,16896.07,Flipkart,Health & Wellness,0
9,Yadavi Wali,Adoni,2024-10-17 08:10:58,42389.97,Snapdeal,Entertainment,0
10,Tanvi Mutti,Karnal,2024-11-20 07:51:34,36513.62,Tata Cliq,Electronics,0
11,Hredhaan Dugal,Bhusawal,2024-06-15 04:15:14,18988.87,Tata Cliq,Entertainment,0
12,Kala Divan,Udupi,2024-10-02 08:31:23,30964.14,Zomato,Recharge & Bills,0
13,Tristan Iyengar,Etawah,2025-01-31 21:55:19,3570.8,Reliance Digital,Entertainment,0
14,Lekha Gupta,Amravati,2024-08-20 22:44:19,42780.35,Flipkart,Health & Wellness,0
15,Aadi Modi,Gulbarga,2024-06-29 08:18:33,31820.65,Zomato,Clothing,0
16,Tamanna Sachdeva,Belgaum,2024-10-27 20:44:21,10554.4,Myntra,Electronics,0
17,Nathan Soman,Darbhanga,2024-08-17 04:45:54,8639.82,Reliance Digital,Clothing,0
18,David Jhaveri,Siwan,2024-09-01 09:58:56,13570.4,Tata Cliq,Transport,0
19,Avi Chacko,Naihati,2024-03-14 22:35:54,42158.31,Amazon India,Transport,0
20,Michael Khare,Ujjain,2024-05-20 21:25:45,40271.79,Swiggy,Entertainment,0
21,Benjamin Palan,Jaunpur,2025-01-11 07:19:04,45665.49,Snapdeal,Food & Dining,0
22,Yagnesh Shetty,Mau,2024-06-20 19:03:09,25011.64,Paytm Mall,Clothing,0
23,Girik Menon,Nagercoil,2024-08-25 12:32:33,12406.71,Tata Cliq,Utilities,0
24,Harish Hari,Cuttack,2024-12-10 20:52:29,29270.84,Snapdeal,Health & Wellness,0
25,Ethan Bera,Nagaon,2024-08-07 02:07:01,49866.56,Big Bazaar,Utilities,0
26,Naksh Khatri,Tumkur,2024-11-15 22:53:22,37813.53,Flipkart,Clothing,0
27,Damyanti Mani,Bhiwani,2024-03-27 15:07:11,39624.76,Swiggy,Recharge & Bills,0
28,Arunima Golla,Bulandshahr,2024-11-12 11:45:41,19142.8,Paytm Mall,Utilities,0
29,Chatura Guha,Shivpuri,2024-08-30 21:11:04,27705.97,Amazon India,Electronics,0
30,Wishi Manne,Coimbatore,2024-11-11 00:20:41,26894.82,Myntra,Food & Dining,0
31,Krishna Shah,Saharanpur,2024-07-16 12:02:28,21794.79,Paytm Mall,Groceries,0
32,Alka Nigam,Noida,2024-04-02 12:42:10,43805.06,Myntra,Utilities,0
33,Madhav Konda,Ballia,2024-07-28 01:01:30,25433.32,Flipkart,Entertainment,0
34,Zashil Shan,Lucknow,2024-06-28 15:34:21,25432.38,Reliance Digital,Clothing,0
35,Gunbir Baral,Mira-Bhayandar,2024-11-22 16:28:32,8161.3,Tata Cliq,Groceries,0
36,Gautam Rana,Chittoor,2025-01-26 22:09:46,24481.42,Flipkart,Food & Dining,0
37,Gunbir Keer,Tadepalligudem,2024-09-11 18:50:50,41600.11,Myntra,Transport,0
38,Jason Sha,Dharmavaram,2024-06-19 14:39:16,43912.68,Flipkart,Electronics,0
39,Wazir Naik,Anand,2024-03-10 05:45:40,40819.56,Tata Cliq,Clothing,0
40,Ethan Buch,Malda,2024-09-10 20:53:23,23816.59,Tata Cliq,Clothing,0
41,Aadhya Prasad,Dharmavaram,2024-08-17 04:58:54,43634.41,Swiggy,Transport,0
42,Udarsh Chokshi,Narasaraopet,2024-11-14 12:28:44,37787.73,Reliance Digital,Entertainment,0
43,Krisha Saini,Tadipatri,2024-04-09 02:29:47,33617.18,Zomato,Travel,0
44,Vidhi Vyas,Rohtak,2024-04-16 12:49:14,22629.16,Reliance Digital,Transport,0
45,Rajata Bahl,Anantapur,2024-08-05 16:13:28,1149.61,Tata Cliq,Transport,0
46,Timothy Nath,Ulhasnagar,2024-12-19 02:39:28,458.82,Amazon India,Transport,0
47,Matthew Sarraf,Bidhannagar,2025-02-03 02:37:03,1667.51,Zomato,Electronics,0
48,Ekanta Soni,Bahraich,2025-02-20 12:12:45,13996.02,Paytm Mall,Transport,0
49,Mason Nath,Ozhukarai,2024-06-22 19:41:41,36195.29,Snapdeal,Recharge & Bills,0
50,Faras Merchant,Bokaro,2024-04-26 21:27:18,39252.51,Swiggy,Transport,0
51,Jhalak Sastry,Ongole,2025-02-18 12:54:16,32983.24,Zomato,Health & Wellness,0
52,Ikshita Bala,Navi Mumbai,2025-01-15 15:28:44,43205.45,Amazon India,Electronics,0
53,Pallavi Choudhry,Kavali,2025-01-22 17:40:23,36437.86,Flipkart,Transport,0
54,Ekansh Vora,Raurkela Industrial Township,2024-09-23 18:28:57,26860.66,Big Bazaar,Health & Wellness,0
55,Dev Shankar,Nizamabad,2025-01-13 14:57:34,23185.14,Flipkart,Travel,0
56,Jhalak Venkataraman,Khammam,2024-09-13 04:12:08,42812.75,Flipkart,Groceries,0
57,Januja Varghese,Yamunanagar,2024-04-02 14:41:14,27075.34,Amazon India,Electronics,0
58,Atharv Grewal,Kollam,2024-06-09 09:48:08,42449.92,Big Bazaar,Health & Wellness,0
59,Janaki Trivedi,Suryapet,2024-12-05 21:47:41,10765.99,Swiggy,Groceries,0
60,Zansi Padmanabhan,Dehradun,2024-08-26 05:19:09,207.55,Swiggy,Entertainment,0
61,Mitesh Garg,Aurangabad,2024-04-09 18:04:08,39277.95,Myntra,Health & Wellness,0
62,Veda Shetty,Imphal,2024-08-22 04:40:23,36552.22,Tata Cliq,Travel,0
63,Dhriti Gupta,New Delhi,2025-01-14 09:24:58,14905.72,Amazon India,Recharge & Bills,0
64,Jasmit Rau,Dibrugarh,2025-02-10 04:20:11,3141.78,Zomato,Groceries,0
65,Xiti Baria,Pudukkottai,2024-10-24 10:36:53,23891.75,Tata Cliq,Clothing,0
66,Imaran Saha,Tirunelveli,2024-07-25 12:35:48,25440.64,Big Bazaar,Electronics,0
67,David Devi,Bongaigaon,2024-09-15 08:32:59,33793.11,Reliance Digital,Health & Wellness,0
68,Anusha Mani,Mango,2024-09-06 19:20:42,44525.34,Reliance Digital,Recharge & Bills,0
69,Viraj Ben,Kollam,2024-11-19 14:33:29,31007.14,Swiggy,Recharge & Bills,0
70,Baljiwan Andra,Darbhanga,2024-05-15 19:48:11,15886.86,Myntra,Transport,0
71,Yutika Narang,Amroha,2025-01-19 15:21:24,15777.77,Myntra,Health & Wellness,0
72,Jacob Merchant,Siwan,2024-11-25 21:55:21,32310.49,Paytm Mall,Food & Dining,0
73,Nitesh Narang,Anand,2024-10-12 21:13:10,46793.14,Amazon India,Travel,0
74,Devansh Bhasin,Gandhinagar,2024-08-16 00:23:56,28193.38,Flipkart,Electronics,0
75,Ladli Karpe,Tiruppur,2024-11-21 00:43:36,25343.65,Big Bazaar,Food & Dining,0
76,Vivaan Nagar,Proddatur,2024-04-27 21:24:40,43975.59,Zomato,Entertainment,0
77,Wridesh Kar,Rohtak,2024-12-22 10:55:14,41703.87,Myntra,Recharge & Bills,0
78,Varenya Joshi,Suryapet,2024-05-16 13:03:43,40374.29,Tata Cliq,Groceries,0
79,Kamala Munshi,Jamnagar,2025-02-22 13:25:51,27774.65,Flipkart,Clothing,0
80,Vrinda Gour,Bangalore,2024-05-09 04:55:25,44496.66,Tata Cliq,Clothing,0
81,Bhavini Badal,Raichur,2024-03-10 23:09:07,30281.01,Zomato,Transport,0
82,Daksh Andra,Tezpur,2024-07-28 22:43:41,42660.35,Tata Cliq,Travel,0
83,Chandani Gaba,Navi Mumbai,2025-02-28 04:59:42,45417.14,Amazon India,Electronics,0
84,Rachana Grewal,Jamnagar,2024-10-05 05:56:17,41484.47,Amazon India,Groceries,0
85,Harshil Bal,Guwahati,2024-08-25 18:46:45,6627.9,Myntra,Clothing,0
86,Chandani Sule,Chennai,2024-06-19 15:24:14,27628.85,Swiggy,Utilities,1
87,Mitali Nagar,Guntakal,2024-07-04 11:39:12,3854.67,Big Bazaar,Utilities,1
88,Krishna Borah,Moradabad,2024-12-07 05:44:21,18523.88,Tata Cliq,Clothing,0
89,Sanaya Prasad,Bhiwandi,2024-12-19 12:25:40,2187.26,Zomato,Groceries,0
90,Ishwar Bajaj,Ahmednagar,2024-06-29 01:55:01,10582.82,Reliance Digital,Electronics,0
91,Harsh Yadav,Phagwara,2024-06-20 13:36:53,28038.19,Swiggy,Recharge & Bills,0
92,Jackson Goswami,Siwan,2024-06-05 02:54:43,46295.61,Reliance Digital,Clothing,0
93,Yashasvi Talwar,Panipat,2024-05-19 05:58:56,40557.51,Swiggy,Groceries,0
94,Ridhi Kamdar,Bhagalpur,2024-09-30 23:27:48,46231.92,Swiggy,Transport,0
95,Brinda Mann,Pondicherry,2024-05-08 20:38:37,39389.99,Flipkart,Health & Wellness,0
96,Falak Agate,North Dumdum,2024-08-28 01:19:25,42943.8,Reliance Digital,Transport,0
97,Aadi Sangha,Tenali,2024-08-22 20:20:10,23069.13,Myntra,Transport,0
98,Jai Sami,Durgapur,2024-03-07 14:24:05,33035.66,Swiggy,Food & Dining,0
99,Teerth Chadha,Kulti,2024-11-26 02:30:48,3564.1,Myntra,Food & Dining,0
100,Ekavir Wable,Pune,2024-06-06 02:17:52,20043.95,Tata Cliq,Food & Dining,0
101,Arunima Chacko,Mathura,2024-09-29 06:33:51,5855.55,Myntra,Clothing,0
102,Idika Virk,Firozabad,2024-05-07 02:17:01,49179.17,Amazon India,Electronics,0
103,Chaitanya Arora,Kulti,2024-06-01 04:08:11,17349.79,Zomato,Health & Wellness,0
104,Barkha Mukhopadhyay,Madhyamgram,2025-02-08 01:24:13,25620.01,Swiggy,Recharge & Bills,0
105,Damyanti Chawla,Serampore,2024-03-05 00:52:48,2314.89,Swiggy,Groceries,0
106,Maya Narain,Hospet,2024-06-13 19:51:53,40344.89,Reliance Digital,Food & Dining,0
107,Tanveer Narang,Bidhannagar,2025-01-19 09:44:06,47448.84,Zomato,Recharge & Bills,0
108,Falan Bains,Tenali,2024-10-18 02:16:32,42415.96,Myntra,Utilities,0
109,Chakrika Tara,Tinsukia,2024-10-30 01:53:49,20478.81,Swiggy,Entertainment,0
110,Ayushman Mand,Muzaffarnagar,2024-10-22 08:46:51,9672.82,Swiggy,Clothing,0
111,Dayamai Gill,Srikakulam,2024-05-16 13:43:04,15117.4,Tata Cliq,Groceries,0
112,Harrison Nayar,Giridih,2024-12-03 02:01:23,10588.12,Snapdeal,Recharge & Bills,0
