TransactionID,CustomerName,PhoneNumber,City,CardNumber,TransactionDate,Amount,Merchant,Category,IsFraud
1,Rushil Saini,+917940265423,Kota,4043321819600132,2024-06-02 19:48:35,32007.4,Amazon India,Entertainment,0
2,Rehaan Boase,+913413164752,Raichur,4615594078161842,2025-01-20 13:51:53,7062.94,Flipkart,Utilities,0
3,Diya Rattan,01395376724,Shahjahanpur,4419283276483509,2024-06-01 10:08:08,21153.9,Amazon India,Electronics,0
4,Devansh Rajan,09784801845,Durg,4969653287101221,2025-01-06 01:58:04,25317.23,Amazon India,Utilities,0
5,Aadi Naik,00154303911,Coimbatore,4270482814893256,2024-12-25 14:22:07,32529.23,Tata Cliq,Health & Wellness,0
6,Jai Kota,+911509839301,Berhampur,4278248963834652,2024-08-21 14:38:30,29504.36,Amazon India,Clothing,0
7,Niharika Gupta,+911656670106,Moradabad,4051834738299736,2025-01-03 04:26:10,17078.5,Big Bazaar,Transport,0
8,Girik Khalsa,+916773602606,Malda,4338726247317816,2024-03-24 02:46:13,16896.07,Flipkart,Health & Wellness,0
9,Yadavi Wali,+910812191361,Adoni,4687234309805007,2024-10-17 08:10:58,42389.97,Snapdeal,Entertainment,0
10,Tanvi Mutti,+910799118384,Karnal,4916998543534622,2024-11-20 07:51:34,36513.62,Tata Cliq,Electronics,0
11,Hredhaan Dugal,04935348740,Bhusawal,4354278498084124,2024-06-15 04:15:14,18988.87,Tata Cliq,Entertainment,0
12,Kala Divan,02045053315,Udupi,4005242786801121,2024-10-02 08:31:23,30964.14,Zomato,Recharge & Bills,0
13,Tristan Iyengar,05433036541,Etawah,4322602563421607,2025-01-31 21:55:19,3570.8,Reliance Digital,Entertainment,0
14,Lekha Gupta,00608835615,Amravati,4850142940196556,2024-08-20 22:44:19,42780.35,Flipkart,Health & Wellness,0
15,Aadi Modi,03699577738,Gulbarga,4846564823662999,2024-06-29 08:18:33,31820.65,Zomato,Clothing,0
16,Tamanna Sachdeva,9367632016,Belgaum,4489513433200379,2024-10-27 20:44:21,10554.4,Myntra,Electronics,0
17,Nathan Soman,04348734714,Darbhanga,4083172788957982,2024-08-17 04:45:54,8639.82,Reliance Digital,Clothing,0
18,David Jhaveri,06909670546,Siwan,4581223623166581,2024-09-01 09:58:56,13570.4,Tata Cliq,Transport,0
19,Avi Chacko,6272046537,Naihati,4734670656272981,2024-03-14 22:35:54,42158.31,Amazon India,Transport,0
20,Michael Khare,+917193745299,Ujjain,4464170805310036,2024-05-20 21:25:45,40271.79,Swiggy,Entertainment,0
21,Benjamin Palan,6518506716,Jaunpur,4190496631931492,2025-01-11 07:19:04,45665.49,Snapdeal,Food & Dining,0
22,Yagnesh Shetty,9650752735,Mau,4628498776945313,2024-06-20 19:03:09,25011.64,Paytm Mall,Clothing,0
23,Girik Menon,+916349578856,Nagercoil,4948083136783779,2024-08-25 12:32:33,12406.71,Tata Cliq,Utilities,0
24,Harish Hari,03524082400,Cuttack,4444313518233740,2024-12-10 20:52:29,29270.84,Snapdeal,Health & Wellness,0
25,Ethan Bera,+912941318699,Nagaon,4109477752047110,2024-08-07 02:07:01,49866.56,Big Bazaar,Utilities,0
26,Naksh Khatri,+918120679740,Tumkur,4774964990913348,2024-11-15 22:53:22,37813.53,Flipkart,Clothing,0
27,Damyanti Mani,01746488771,Bhiwani,4713493618324211,2024-03-27 15:07:11,39624.76,Swiggy,Recharge & Bills,0
28,Arunima Golla,6717565512,Bulandshahr,4940139904902781,2024-11-12 11:45:41,19142.8,Paytm Mall,Utilities,0
29,Chatura Guha,5977034824,Shivpuri,4468071545168088,2024-08-30 21:11:04,27705.97,Amazon India,Electronics,0
30,Wishi Manne,4677378263,Coimbatore,4093248086131716,2024-11-11 00:20:41,26894.82,Myntra,Food & Dining,0
31,Krishna Shah,03396360576,Saharanpur,4658404499727874,2024-07-16 12:02:28,21794.79,Paytm Mall,Groceries,0
32,Alka Nigam,6158657809,Noida,4028951718702628,2024-04-02 12:42:10,43805.06,Myntra,Utilities,0
33,Madhav Konda,6922219693,Ballia,4316117240050453,2024-07-28 01:01:30,25433.32,Flipkart,Entertainment,0
34,Zashil Shan,03671369594,Lucknow,4374740748217594,2024-06-28 15:34:21,25432.38,Reliance Digital,Clothing,0
35,Gunbir Baral,07095214562,Mira-Bhayandar,4409097439533949,2024-11-22 16:28:32,8161.3,Tata Cliq,Groceries,0
36,Gautam Rana,+914817549651,Chittoor,4884247451712368,2025-01-26 22:09:46,24481.42,Flipkart,Food & Dining,0
37,Gunbir Keer,2675869261,Tadepalligudem,4985931746120044,2024-09-11 18:50:50,41600.11,Myntra,Transport,0
38,Jason Sha,+913900532931,Dharmavaram,4405377351585067,2024-06-19 14:39:16,43912.68,Flipkart,Electronics,0
39,Wazir Naik,+912402681177,Anand,4352904228421029,2024-03-10 05:45:40,40819.56,Tata Cliq,Clothing,0
40,Ethan Buch,09212499856,Malda,4783908470076612,2024-09-10 20:53:23,23816.59,Tata Cliq,Clothing,0
41,Aadhya Prasad,+917111161528,Dharmavaram,4118367365766157,2024-08-17 04:58:54,43634.41,Swiggy,Transport,0
42,Udarsh Chokshi,08514936899,Narasaraopet,4165604945198325,2024-11-14 12:28:44,37787.73,Reliance Digital,Entertainment,0
43,Krisha Saini,05254599102,Tadipatri,4024455022961205,2024-04-09 02:29:47,33617.18,Zomato,Travel,0
44,Vidhi Vyas,4036900343,Rohtak,4147679764381569,2024-04-16 12:49:14,22629.16,Reliance Digital,Transport,0
45,Rajata Bahl,01596966416,Anantapur,4510762268388519,2024-08-05 16:13:28,1149.61,Tata Cliq,Transport,0
46,Timothy Nath,+911818835523,Ulhasnagar,4975161369681641,2024-12-19 02:39:28,458.82,Amazon India,Transport,0
47,Matthew Sarraf,+917744905814,Bidhannagar,4329212779979951,2025-02-03 02:37:03,1667.51,Zomato,Electronics,0
48,Ekanta Soni,2071518203,Bahraich,4054119986798077,2025-02-20 12:12:45,13996.02,Paytm Mall,Transport,0
49,Mason Nath,+919254629148,Ozhukarai,4554665905151868,2024-06-22 19:41:41,36195.29,Snapdeal,Recharge & Bills,0
50,Faras Merchant,+918880592962,Bokaro,4816850542357334,2024-04-26 21:27:18,39252.51,Swiggy,Transport,0
51,Jhalak Sastry,04688623924,Ongole,4706537947383477,2025-02-18 12:54:16,32983.24,Zomato,Health & Wellness,0
52,Ikshita Bala,00685361530,Navi Mumbai,4818141247826130,2025-01-15 15:28:44,43205.45,Amazon India,Electronics,0
53,Pallavi Choudhry,03410369711,Kavali,4220472779010435,2025-01-22 17:40:23,36437.86,Flipkart,Transport,0
54,Ekansh Vora,8880670654,Raurkela Industrial Township,4893246095396215,2024-09-23 18:28:57,26860.66,Big Bazaar,Health & Wellness,0
55,Dev Shankar,+914303054868,Nizamabad,4531952058527724,2025-01-13 14:57:34,23185.14,Flipkart,Travel,0
56,Jhalak Venkataraman,01616928451,Khammam,4345054156676523,2024-09-13 04:12:08,42812.75,Flipkart,Groceries,0
57,Januja Varghese,2029702135,Yamunanagar,4479627570596407,2024-04-02 14:41:14,27075.34,Amazon India,Electronics,0
58,Atharv Grewal,08681447394,Kollam,4927557192856541,2024-06-09 09:48:08,42449.92,Big Bazaar,Health & Wellness,0
59,Janaki Trivedi,+911323705895,Suryapet,4217271551884420,2024-12-05 21:47:41,10765.99,Swiggy,Groceries,0
60,Zansi Padmanabhan,+918922680182,Dehradun,4911467866912513,2024-08-26 05:19:09,207.55,Swiggy,Entertainment,0
61,Mitesh Garg,9959001094,Aurangabad,4535841438424981,2024-04-09 18:04:08,39277.95,Myntra,Health & Wellness,0
62,Veda Shetty,+915925556258,Imphal,4907844736471027,2024-08-22 04:40:23,36552.22,Tata Cliq,Travel,0
63,Dhriti Gupta,+917877470168,New Delhi,4714732104696320,2025-01-14 09:24:58,14905.72,Amazon India,Recharge & Bills,0
64,Jasmit Rau,00609835841,Dibrugarh,4950047974801626,2025-02-10 04:20:11,3141.78,Zomato,Groceries,0
65,Xiti Baria,+910257872982,Pudukkottai,4849912165585236,2024-10-24 10:36:53,23891.75,Tata Cliq,Clothing,0
66,Imaran Saha,4097499309,Tirunelveli,4269495888794708,2024-07-25 12:35:48,25440.64,Big Bazaar,Electronics,0
67,David Devi,3857865278,Bongaigaon,4230913075626364,2024-09-15 08:32:59,33793.11,Reliance Digital,Health & Wellness,0
68,Anusha Mani,+919866524041,Mango,4497334843443750,2024-09-06 19:20:42,44525.34,Reliance Digital,Recharge & Bills,0
69,Viraj Ben,+916571208267,Kollam,4733848421993302,2024-11-19 14:33:29,31007.14,Swiggy,Recharge & Bills,0
70,Baljiwan Andra,09915478872,Darbhanga,4540193802620676,2024-05-15 19:48:11,15886.86,Myntra,Transport,0
71,Yutika Narang,+916122753046,Amroha,4152742054932962,2025-01-19 15:21:24,15777.77,Myntra,Health & Wellness,0
